# AUTHOR: S. F. Sanchez
# SOURCE: Early Studies
# DATE: 2011-12-16
# VERSION: 1.0
# OBJECT: ngc628
# RA_OBJ: 24.17375 | 01:36:41.7
# DEC_OBJ: 15.7836111111111 | +15:47:01.0
# Re: 122.176537805958 | Effective Radius Arcsec
# eRe: 8.82473393492684 | estimated error of the Effective Radius Arcsec
# type_OBJ: Sa(s)c	
# redshift_OBJ: 0.00219
# modz: 29.67, Distance modulus modz = 5 log(DL) + 25
# Number_Arms: 2, Number of Arms detected
# Quality_Arms_Analysis: 1, 0= Bad Arms FIT, 1 = Good Arms FIT
# BAD_VALUES: nan
# COLUMN1:  ID         ,   int, , ID of the HII region in the ngc628 galaxy
# COLUMN2:  RA, float, degrees, Right ascension of the HII region
# COLUMN3:  DEC, float, degrees, Declination of the HII region
# COLUMN4:  Xobs, float, arcsec, delta right ascension from the center
# COLUMN5:  Yobs, float, arcsec, delta declination from the center
# COLUMN6:  Xres, float, kpc, deprojected delta X coordinate from the center
# COLUMN7:  Yres, float, kpc, deprojected delta Y coordinate from the center
# COLUMN8:  R, float, kpc, deprojected distance to the center
# COLUMN9:  Theta, float, degrees, deprojected position angle
# COLUMN10:  N_Arm, int, , ID of the nearest ARM
# COLUMN11:  Inter_Arm, int, , 1 = HII region associated with the ARM; 0 = Inter ARM HII region
# COLUMN12:  D_min_Arm, float, arcsec, Minimum Distance to the nearest ARM
# COLUMN13:  D_Arm, float, arcsec, Spiralcentric distance, Distance along the nearest ARM
# COLUMN14:  Theta_Arm, float, degrees, Angular Distance to the nearest ARM
# COLUMN15: vel_Ha, float, km/s, Ha velocity of the ionized gas
# COLUMN16: e_vel_Ha, float, km/s, Error of the Ha velocity of the ionized gas
# COLUMN17:  log10(L_Halpha), float, Erg s-1 , Halpha dust corrected Luminosity
# COLUMN18:  e_log10(L_Halpha), float, Erg s-1 , Halpha dust corrected Luminosity
 ngc628-020        ,   24.1572,  15.7531,    -61.9,  -109.8,      2.5,    -5.6,      6.1,   294.5,   2,  0,    48.0,  4261.5,   -11.2,    494.0,     8.5,  38.85,  0.08
 ngc628-021        ,   24.1983,  15.7854,     92.0,     6.6,     -3.8,     0.4,      3.8,   174.6,   2,  1,    12.6,  2794.6,     6.1,    517.8,     9.0,  39.03,  0.07
 ngc628-022        ,   24.1953,  15.7742,     80.7,   -33.7,     -3.4,    -1.7,      3.8,   206.6,   2,  1,     5.7,  2981.5,    -1.3,    504.5,     7.0,  39.53,  0.07
 ngc628-023        ,   24.1626,  15.8217,    -41.8,   137.1,      1.8,     6.9,      7.1,    75.7,   1,  1,    16.1,  3666.7,    -2.4,    517.5,     9.0,  39.08,  0.09
 ngc628-024        ,   24.1840,  15.7760,     38.4,   -27.3,     -1.6,    -1.4,      2.1,   220.6,   1,  1,     2.8,  1613.1,    -2.0,    498.9,    12.8,  39.78,  0.09
 ngc628-025        ,   24.1613,  15.7837,    -46.6,     0.4,      1.9,     0.0,      1.9,     0.1,   2,  1,     5.3,  1464.2,    -3.8,    488.3,    11.2,  39.05,  0.07
 ngc628-026        ,   24.1744,  15.7643,      2.6,   -69.6,     -0.1,    -3.5,      3.5,   268.0,   1,  1,     4.9,  1961.9,    -2.6,    485.3,     8.1,  38.95,  0.08
 ngc628-027        ,   24.1281,  15.8155,   -170.7,   114.9,      7.1,     5.8,      9.1,    39.0,   1,  0,    97.9,  3297.4,     9.9,    497.7,     7.1,  39.16,  0.07
 ngc628-028        ,   24.1946,  15.7639,     78.0,   -71.0,     -3.3,    -3.6,      4.8,   227.6,   2,  1,     4.6,  3186.7,    -2.4,    501.5,     6.9,  39.13,  0.08
 ngc628-029        ,   24.1883,  15.7549,     54.3,  -103.2,     -2.3,    -5.2,      5.7,   246.3,   2,  1,     9.2,  3414.0,    -4.5,    496.7,     9.9,  38.92,  0.09
 ngc628-030        ,   24.1930,  15.8172,     72.0,   121.0,     -3.0,     6.1,      6.8,   115.7,   1,  1,    29.0,  4431.6,    -5.6,    519.7,     5.3,  39.07,  0.09
 ngc628-031        ,   24.1704,  15.7843,    -12.5,     2.4,      0.5,     0.1,      0.5,    12.7,   1,  1,     1.5,    30.3,     1.3,    517.8,    11.4,  39.83,  0.11
 ngc628-032        ,   24.1532,  15.7907,    -76.9,    25.4,      3.2,     1.3,      3.4,    21.5,   1,  1,    17.7,  2981.5,    -1.9,    497.4,    13.4,  39.03,  0.09
 ngc628-033        ,   24.1713,  15.8114,     -9.2,   100.1,      0.4,     5.1,      5.1,    85.4,   1,  0,    35.7,  3803.6,    -5.2,    506.4,    10.7,  39.61,  0.10
 ngc628-034        ,   24.1943,  15.7695,     76.8,   -50.7,     -3.2,    -2.5,      4.1,   218.5,   2,  1,     7.5,  3081.6,    -2.7,    512.8,    10.6,  39.94,  0.09
 ngc628-035        ,   24.1659,  15.8183,    -29.3,   125.0,      1.2,     6.3,      6.4,    78.8,   1,  1,     8.8,  3803.6,     2.7,    532.4,     9.9,  39.11,  0.12
 ngc628-036        ,   24.1682,  15.8111,    -20.6,    98.8,      0.9,     5.0,      5.1,    80.0,   1,  0,    31.1,  3666.7,    -7.5,    500.1,    12.7,  39.45,  0.10
 ngc628-037        ,   24.1847,  15.7785,     41.1,   -18.4,     -1.7,    -0.9,      1.9,   208.3,   1,  1,     1.9,  1561.9,    -0.3,    495.8,    12.3,  39.47,  0.07
 ngc628-038        ,   24.1240,  15.8058,   -186.2,    79.8,      7.7,     4.0,      8.7,    27.2,   1,  0,   100.4,  3186.7,    11.5,    504.4,    25.4,  38.44,  0.11
 ngc628-039        ,   24.1597,  15.7859,    -52.4,     8.2,      2.2,     0.4,      2.2,    10.4,   2,  1,     3.4,  1512.3,    -3.4,    483.2,    12.4,  38.99,  0.09
 ngc628-040        ,   24.1395,  15.8096,   -128.2,    93.5,      5.3,     4.7,      7.1,    41.3,   1,  0,    50.6,  3297.4,     7.7,    508.6,    29.6,  38.43,  0.10
 ngc628-041        ,   24.1700,  15.8337,    -14.1,   180.2,      0.6,     9.1,      9.1,    86.1,   1,  1,    40.1,  3948.1,     2.8,    494.7,    18.0,  39.11,  0.11
 ngc628-042        ,   24.1620,  15.7887,    -44.0,    18.2,      1.8,     0.9,      2.0,    26.4,   2,  1,     6.0,  1613.1,     0.8,    494.6,    12.4,  39.04,  0.09
 ngc628-043        ,   24.2086,  15.7639,    130.5,   -70.9,     -5.4,    -3.5,      6.5,   213.2,   2,  0,    50.7,  3081.6,     2.2,    497.2,    13.2,  38.78,  0.09
 ngc628-044        ,   24.1930,  15.8207,     72.0,   133.5,     -3.0,     6.8,      7.4,   113.6,   1,  1,    16.5,  4431.6,    -3.2,    516.7,    13.8,  38.85,  0.09
 ngc628-045        ,   24.1745,  15.7439,      2.7,  -143.0,     -0.1,    -7.2,      7.2,   268.8,   2,  1,     8.1,  3948.1,     2.6,    505.9,    18.4,  38.65,  0.08
 ngc628-046        ,   24.1628,  15.8095,    -40.9,    93.2,      1.7,     4.7,      5.0,    69.9,   1,  1,    22.2,  3536.9,    -4.5,    480.7,    22.4,  39.34,  0.12
 ngc628-047        ,   24.1851,  15.7360,     42.5,  -171.4,     -1.8,    -8.7,      8.8,   258.2,   2,  1,    42.1,  3803.6,     7.2,    500.1,    12.1,  38.97,  0.09
 ngc628-048        ,   24.2084,  15.7887,    129.7,    18.2,     -5.4,     1.0,      5.5,   169.9,   2,  0,    50.5,  2794.6,    10.0,    528.5,    23.6,  38.47,  0.08
 ngc628-049        ,   24.1866,  15.7750,     48.0,   -31.1,     -2.0,    -1.6,      2.5,   218.0,   1,  1,     7.9,  1613.1,     0.4,    501.2,    13.4,  39.46,  0.07
 ngc628-050        ,   24.2071,  15.7663,    124.8,   -62.3,     -5.2,    -3.1,      6.1,   210.9,   2,  0,    42.3,  3081.6,     4.2,    507.4,    13.9,  38.76,  0.09
 ngc628-051        ,   24.1711,  15.7702,    -10.0,   -48.3,      0.4,    -2.4,      2.5,   279.4,   2,  1,     7.0,  1078.1,     1.6,    484.4,    16.2,  39.28,  0.10
 ngc628-052        ,   24.1760,  15.7684,      8.4,   -54.6,     -0.4,    -2.8,      2.8,   262.6,   1,  1,     8.9,  1898.6,    -4.2,    491.8,     7.6,  39.41,  0.09
 ngc628-053        ,   24.1539,  15.7707,    -74.1,   -46.5,      3.1,    -2.4,      3.9,   322.2,   1,  1,     6.1,  2540.1,     3.5,    487.6,    17.6,  38.69,  0.05
 ngc628-054        ,   24.1588,  15.7833,    -55.8,    -1.0,      2.3,    -0.1,      2.3,   358.3,   2,  1,     5.4,  1464.2,    -2.4,    484.6,    22.8,  39.29,  0.07
 ngc628-055        ,   24.1901,  15.8148,     61.1,   112.4,     -2.5,     5.7,      6.2,   113.7,   1,  0,    38.7,  4431.6,    -3.4,    522.5,    14.4,  38.52,  0.09
 ngc628-056        ,   24.1807,  15.7417,     26.2,  -150.9,     -1.1,    -7.6,      7.7,   261.6,   2,  1,    15.9,  3803.6,     3.1,    495.9,    16.9,  38.88,  0.11
 ngc628-057        ,   24.1917,  15.7589,     67.2,   -88.9,     -2.8,    -4.5,      5.3,   237.9,   2,  1,     7.8,  3297.4,    -4.0,    495.0,    22.3,  38.74,  0.09
 ngc628-058        ,   24.1882,  15.7526,     54.0,  -111.8,     -2.3,    -5.6,      6.1,   248.1,   2,  1,     4.6,  3536.9,     2.1,    510.5,    16.0,  38.78,  0.09
 ngc628-059        ,   24.1935,  15.8017,     74.0,    65.0,     -3.1,     3.3,      4.5,   132.7,   2,  1,    26.9,  2460.6,     4.0,    531.0,    11.9,  38.59,  0.09
 ngc628-060        ,   24.1731,  15.7419,     -2.5,  -150.0,      0.1,    -7.6,      7.6,   270.5,   2,  1,     2.9,  3948.1,     0.6,    547.1,    21.3,  38.77,  0.15
 ngc628-061        ,   24.1761,  15.7822,      9.0,    -4.9,     -0.4,    -0.2,      0.4,   213.5,   1,  0,     4.2,   264.0,    -4.8,    501.3,     9.2,  39.82,  0.09
 ngc628-062        ,   24.1818,  15.7304,     30.3,  -191.6,     -1.3,    -9.7,      9.8,   262.3,   2,  1,    55.0,  3803.6,     2.2,    538.9,    23.6,  38.55,  0.11
 ngc628-063        ,   24.2098,  15.7668,    134.9,   -60.6,     -5.6,    -3.0,      6.4,   208.3,   2,  0,    51.7,  3081.6,     6.6,    495.3,    18.6,  38.55,  0.09
 ngc628-064        ,   24.1599,  15.8097,    -51.8,    93.9,      2.2,     4.7,      5.2,    65.4,   1,  1,    15.0,  3536.9,     0.7,    486.1,    12.8,  39.40,  0.12
 ngc628-065        ,   24.1810,  15.8039,     27.2,    73.2,     -1.1,     3.7,      3.9,   106.7,   2,  1,    12.1,  2235.1,     3.6,    506.7,    21.2,  38.39,  0.10
 ngc628-066        ,   24.1662,  15.7407,    -28.4,  -154.5,      1.1,    -7.8,      7.9,   278.3,   2,  1,     1.7,  4100.5,    -0.5,    511.4,    14.0,  38.68,  0.10
 ngc628-067        ,   24.1654,  15.7774,    -31.2,   -22.3,      1.3,    -1.1,      1.7,   318.6,   1,  1,     7.4,   597.6,    -1.7,    502.5,    23.0,  38.57,  0.09
 ngc628-068        ,   24.1390,  15.7876,   -129.8,    14.5,      5.4,     0.7,      5.4,     7.4,   1,  1,    35.7,  2886.0,     0.9,    517.3,    16.3,  38.67,  0.09
 ngc628-069        ,   24.1759,  15.7528,      8.0,  -111.0,     -0.4,    -5.6,      5.6,   266.3,   2,  1,    28.6,  3803.6,    -2.7,    495.4,    25.5,  38.37,  0.08
 ngc628-071        ,   24.1399,  15.8121,   -126.6,   102.6,      5.3,     5.2,      7.4,    44.3,   1,  0,    52.9,  3297.4,     4.8,    508.6,    31.4,  38.49,  0.09
 ngc628-072        ,   24.1744,  15.7373,      2.5,  -166.8,     -0.1,    -8.4,      8.4,   269.0,   2,  1,    20.4,  3948.1,     2.4,    492.7,    26.2,  38.52,  0.13
 ngc628-073        ,   24.1508,  15.7937,    -86.0,    36.5,      3.6,     1.8,      4.0,    27.0,   1,  1,     9.9,  3081.6,     2.6,    470.9,    16.5,  38.73,  0.10
 ngc628-074        ,   24.1517,  15.8016,    -82.4,    64.9,      3.4,     3.3,      4.7,    43.5,   1,  1,     6.8,  3186.7,    -3.5,    509.6,    19.6,  38.55,  0.14
 ngc628-075        ,   24.1692,  15.7997,    -17.0,    57.8,      0.7,     2.9,      3.0,    76.2,   2,  1,     4.0,  1961.9,     3.7,    497.9,    41.5,  38.34,  0.12
 ngc628-076        ,   24.1712,  15.7869,     -9.6,    11.9,      0.4,     0.6,      0.7,    56.2,   1,  1,     4.5,    72.4,    -4.1,    502.3,    12.7,  39.68,  0.10
 ngc628-077        ,   24.1500,  15.7810,    -89.0,    -9.5,      3.7,    -0.5,      3.7,   352.2,   1,  1,     7.1,  2794.6,     4.2,    500.7,    18.4,  39.37,  0.12
 ngc628-078        ,   24.1670,  15.7751,    -25.2,   -30.5,      1.0,    -1.5,      1.9,   303.8,   2,  1,     6.8,  1199.2,    -2.9,    490.2,    20.2,  38.67,  0.08
 ngc628-079        ,   24.1794,  15.7654,     21.0,   -65.7,     -0.9,    -3.3,      3.4,   255.1,   1,  1,     8.0,  1898.6,     4.8,    490.0,    20.1,  39.25,  0.12
 ngc628-080        ,   24.1814,  15.7914,     28.8,    28.0,     -1.2,     1.4,      1.9,   129.8,   1,  1,     3.9,  1241.2,    -3.4,    495.4,    19.1,  38.43,  0.13
 ngc628-081        ,   24.1820,  15.7746,     31.0,   -32.4,     -1.3,    -1.6,      2.1,   231.6,   1,  1,     7.7,  1666.2,    -3.7,    500.7,    40.3,  39.12,  0.09
 ngc628-082        ,   24.1876,  15.7702,     51.9,   -48.2,     -2.2,    -2.4,      3.2,   228.2,   1,  1,    18.7,  1721.2,     8.7,    504.0,    20.2,  39.37,  0.08
 ngc628-083        ,   24.1963,  15.7873,     84.2,    13.4,     -3.5,     0.7,      3.6,   168.6,   2,  1,     5.3,  2706.7,     1.3,    513.7,    19.4,  38.67,  0.10
 ngc628-084        ,   24.1668,  15.8009,    -26.1,    62.4,      1.1,     3.1,      3.3,    70.8,   2,  1,     7.9,  1898.6,     0.9,    490.5,    69.8,  38.28,  0.15
