# AUTHOR: Raffaella Anna Marino
# SOURCE: Compilation of HII regions from the O3N2 and N2 calibration paper, Marino et al. 2013, 2013arXiv1307.5316M.
# DATE: 2014-07-20
# VERSION: 2.0
# COLAPRV: Rosales-Ortega, F. F.; Sánchez, S. F.; Gil de Paz, A.
# PUBAPRV: Sánchez, S. F.
# COLUMN1: ID, string, the ID of the galaxy.
# COLUMN2: reference literature papers, string, the reference strings are: CAL --->CALIFA; BER12 -->Berg et al. (2012); BRE12 --->Bresolin et al. (2012); CrB09 --->Crowther & Bibby (2009); Cro09 --->Croxall et al. (2009); Est13 --->Esteban et al. (2013); Gbe10 --->Garcia-Benito et al. (2010); Gus12 -->Guseva et al. (2012); Had11 --->Hadfield & Crowther (2007); Keh11 --->Kehrig et al. (2011); Mon12 ---> Monreal-Ibero et al. (2012a); PMC09r# --->Perez-Montero & Contini (2009); P12--->Pilyugin et al. (2012) ; San12 --->Sanders et al. (2012); Sta13 --->Stasinska et al. (2013); Wes13 --->Westmoquette et al. (2013); ZaB11--->Zahid & Bresolin (2011); ZB12 ---> Zurita & Bresolin (2012). 
# COLUMN3: [OII]3727, float, dust-extinction-corrected line flux. I adopt a Cardelli 1989 extiction law (1989ApJ...345..245C) with Rv=3.1 and AV/AHβ= 1.164. 
# COLUMN4: [OII]3729, float, dust-extinction-corrected line flux. 
# COLUMN5: [OIII]4363, float, dust-extinction-corrected line flux.
# COLUMN6: [OIII]4959, float, dust-extinction-corrected line flux.
# COLUMN7: [OIII]5007, float, dust-extinction-corrected line flux.
# COLUMN8: [NII]5755, float, dust-extinction-corrected line flux.
# COLUMN9: [NII]6548, float, dust-extinction-corrected line flux.
# COLUMN10: [NII]6584, float, dust-extinction-corrected line flux.
# COLUMN11: [SIII]6312, float, dust-extinction-corrected line flux.
# COLUMN12: [SII]6717, float, dust-extinction-corrected line flux. 
# COLUMN13: [SII]6731, float, dust-extinction-corrected line flux. 
# COLUMN14: jD, integer, the index jD indicates what doublets ([OII], [SII]) were resolved in the original source. (0=[OII], [SII] are resolved; 1= only [SII] is resolved and we assume [OII]3729/[OII]3726=1.5; 2= none is resolved, we assume [OII]3729/[OII]3726=1.5 and [SII]6717/[SII]6731=1.5)
# COLUMN15: jT, integer, the index jT is 1 when the electron temperature is derived from the auroral and nebular lines of [O III], is 2 when the [N II] lines are used, and 3 for the case of [S III].
# COLUMN16: T3 (in units of 10^4 K).
# COLUMN17: 12+log(O/H), float, Abundance computed from the electron temperature.
NGC5236no0, P12, 0.83188, 1.24782, 0.00000, 0.39259, 1.17777, 0.00740, 0.32579, 0.97738, 0.00720, 0.25772, 0.17181, 2, 2, 0.71600, 8.56500
NGC5236no1, P12, 0.17181, 0.25772, 0.00000, 0.02992, 0.08976, 0.00400, 0.53820, 1.61459, 0.00230, 0.35412, 0.23608, 2, 2, 0.41300, 8.75700
NGC5236no1, P12, 0.57552, 0.86328, 0.00000, 0.07655, 0.22965, 0.00600, 0.44868, 1.34605, 0.00350, 0.30630, 0.20420, 2, 2, 0.54800, 8.67000
M101H1013, P12, 0.88320, 1.32480, 0.00240, 0.33880, 1.01639, 0.00590, 0.23602, 0.70805, 0.00770, 0.17871, 0.11914, 2, 2, 0.75200, 8.47500
M83no29, P12, 1.01639, 1.52458, 0.00700, 0.63818, 1.91453, 0.00000, 0.19631, 0.58893, 0.00000, 0.17995, 0.11997, 2, 1, 0.84900, 8.43700
NGC300no2, P12, 0.66383, 0.99575, 0.05590, 1.67471, 5.02413, 0.00180, 0.02558, 0.07675, 0.01850, 0.10451, 0.06967, 2, 3, 1.21100, 8.12500
NGC300no4, P12, 1.14304, 1.71455, 0.02140, 0.84128, 2.52384, 0.00000, 0.06775, 0.20326, 0.01730, 0.19914, 0.13276, 2, 1, 1.08700, 8.16800
NGC300no6, P12, 1.09916, 1.64874, 0.01600, 0.81835, 2.45505, 0.00000, 0.09035, 0.27106, 0.01380, 0.23182, 0.15455, 2, 3, 1.00900, 8.25400
NGC300no8, P12, 1.22761, 1.84141, 0.00770, 0.47856, 1.43569, 0.00500, 0.11349, 0.34046, 0.01320, 0.26494, 0.17663, 2, 1, 0.94300, 8.28200
NGC300no9, P12, 0.68875, 1.03312, 0.00890, 0.78152, 2.34456, 0.00000, 0.10813, 0.32439, 0.01090, 0.19868, 0.13245, 2, 1, 0.85800, 8.39100
NGC300no10, P12, 0.71955, 1.07932, 0.00910, 0.78513, 2.35538, 0.00230, 0.06382, 0.19145, 0.01110, 0.09776, 0.06517, 2, 1, 0.86200, 8.39200
NGC300no11, P12, 1.03290, 1.54936, 0.01110, 0.66825, 2.00475, 0.00000, 0.09749, 0.29246, 0.01340, 0.25070, 0.16713, 2, 1, 0.95200, 8.28100
NGC300no12, P12, 1.04727, 1.57091, 0.00000, 0.09976, 0.29927, 0.00370, 0.17986, 0.53959, 0.00730, 0.43466, 0.28977, 2, 3, 0.72200, 8.46500
