# AUTHOR: S. F. Sanchez
# SOURCE: Early Studies
# DATE: 2011-12-16
# VERSION: 1.0
# OBJECT: ngc628
# RA_OBJ: 24.17375 | 01:36:41.7
# DEC_OBJ: 15.7836111111111 | +15:47:01.0
# Re: 122.176537805958 | Effective Radius Arcsec
# eRe: 8.82473393492684 | estimated error of the Effective Radius Arcsec
# type_OBJ: Sa(s)c	
# redshift_OBJ: 0.00219
# modz: 29.67, Distance modulus modz = 5 log(DL) + 25
# NON_PHYSICAL_VALUES: rat_Ha_Hb<2.7
# BAD_VALUES: nan
# COLUMN1:   ID         ,   int, , ID of the HII region in the ngc628 galaxy
# COLUMN2:   Flux_Hbeta, float, 10-16 Erg s-1 cm-2 , Hbeta Observed Flux
# COLUMN3:   e_Flux_Hbeta, float, 10-16 Erg s-1 cm-2 , Hbeta Observed Flux Error
# COLUMN4:  rat_OII_Hb, float, , [OII]3727/Hbeta line ratio
# COLUMN5:  e_rat_OII_Hb, float, , [OII]3727/Hbeta line ratio error
# COLUMN6:   rat_OIII_Hb, float, , [OIII]5007/Hbeta line ratio
# COLUMN7:   e_rat_OIII_Hb, float, , [OIII]5007/Hbeta line ratio error
# COLUMN8:   rat_OI_Hb, float, , OI6300/Hbeta line ratio
# COLUMN9:   e_rat_OI_Hb, float, , OI6300/Hbeta line ratio error
# COLUMN10:   rat_Ha_Hb, float, , Halpha/Hbeta line ratio
# COLUMN11:   e_rat_Ha_Hb, float, , Halpha/Hbeta line ratio error
# COLUMN12:   rat_NII_Hb, float, , [NII]6583/Hbeta line ratio
# COLUMN13:  e_rat_NII_Hb, float, , [NII]6583/Hbeta line ratio error
# COLUMN14:   rat_He_Hb, float, , HeI6678/Hbeta line ratio
# COLUMN15:  e_rat_He_Hb, float, , HeI6678/Hbeta line ratio error
# COLUMN16:   rat_SII6717_Hb, float, , [SII]6717/Hbeta line ratio
# COLUMN17:  e_rat_SII6717_Hb, float, , [SII]6717/Hbeta line ratio error
# COLUMN18:   rat_SII6731_Hb, float, , [SII]6731/Hbeta line ratio
# COLUMN19:  e_rat_SII6731_Hb, float, , [SII]6731/Hbeta line ratio error
# COLUMN20:  BTP_type , float, , 0=NO.BTP; 1=SF; 2=SF/AGN; 3=AGN
 ngc628-017        ,   326.088,   50.716,    1.815,   0.467,    1.523,   0.392,    0.050,   0.047,    3.507,   0.889,    0.578,   0.434,    0.027,   0.007,    0.300,   0.136,    0.157,   0.113,  1
 ngc628-018        ,   260.947,   34.769,    1.122,   1.177,    0.145,   0.153,      nan,     nan,    4.091,   0.849,    0.929,   0.428,    0.032,   0.011,    0.405,   0.192,    0.293,   0.177,  1
 ngc628-019        ,   277.208,   21.522,    1.246,   1.109,    0.096,   0.085,      nan,     nan,    3.875,   0.582,    0.860,   0.348,    0.033,   0.010,    0.420,   0.158,    0.251,   0.144,  1
 ngc628-020        ,   141.694,   10.051,    1.931,   0.617,    0.285,   0.091,      nan,     nan,    3.515,   0.541,    1.152,   0.373,    0.050,   0.007,    0.549,   0.092,    0.391,   0.081,  1
 ngc628-021        ,   143.576,    9.412,    1.069,   0.342,    0.258,   0.082,    0.080,   0.057,    3.942,   0.538,    1.129,   0.353,    0.028,   0.007,    0.418,   0.136,    0.219,   0.123,  1
 ngc628-022        ,   116.300,   34.982,    1.863,   5.941,    0.104,   0.332,      nan,     nan,    5.936,   2.211,    1.798,   0.967,    0.018,   0.018,    0.619,   0.368,    0.357,   0.289,  1
 ngc628-023        ,   232.429,   26.707,    2.008,   0.801,    0.405,   0.161,      nan,     nan,    3.554,   0.744,    0.802,   0.428,      nan,     nan,    0.486,   0.258,    0.273,   0.233,  1
 ngc628-024        ,    49.236,   19.764,    1.517,     nan,      nan,     nan,      nan,     nan,    9.056,   4.442,    2.718,   1.898,      nan,     nan,    1.066,   0.806,    0.695,   0.657,  1
 ngc628-025        ,   140.362,   13.869,    1.404,   1.171,    0.134,   0.112,      nan,     nan,    4.022,   0.676,    1.094,   0.386,      nan,     nan,    0.412,   0.172,    0.246,   0.156,  1
 ngc628-026        ,   120.598,   32.443,    0.883,   1.153,    0.260,   0.339,      nan,     nan,    3.938,   1.381,    1.106,   0.619,      nan,     nan,      nan,     nan,      nan,     nan,  1
 ngc628-027        ,   214.275,   17.172,    2.238,   0.332,    1.173,   0.174,      nan,     nan,    3.837,   0.586,    0.718,   0.336,    0.045,   0.010,    0.432,   0.092,    0.307,   0.082,  1
 ngc628-028        ,   195.091,   10.282,    1.243,   0.318,    0.259,   0.066,    0.088,   0.072,    3.862,   0.523,    1.067,   0.376,    0.025,   0.005,    0.522,   0.098,    0.398,   0.092,  1
 ngc628-029        ,   117.750,    7.245,    1.515,   0.386,    0.318,   0.081,      nan,     nan,    3.874,   0.571,    1.059,   0.398,    0.016,   0.016,    0.292,   0.297,      nan,     nan,  1
 ngc628-030        ,   268.151,   20.563,    1.668,   0.305,    0.721,   0.132,    0.070,   0.054,    3.370,   0.546,    0.747,   0.345,    0.033,   0.006,    0.458,   0.133,    0.244,   0.117,  1
 ngc628-031        ,    42.032,   25.944,    1.346,     nan,      nan,     nan,      nan,     nan,    9.821,   7.101,    3.340,   3.101,      nan,     nan,      nan,     nan,      nan,     nan,  1
 ngc628-032        ,   114.874,   15.005,    2.746,   2.225,    0.192,   0.156,      nan,     nan,    4.216,   0.943,    1.130,   0.540,      nan,     nan,    0.506,   0.275,    0.386,   0.260,  1
 ngc628-033        ,   112.092,   38.996,    2.154,   4.011,    0.230,   0.428,      nan,     nan,    6.312,   2.839,    1.497,   1.164,      nan,     nan,    0.874,   0.618,    0.541,   0.502,  1
 ngc628-034        ,    42.908,   17.047,    1.500,   6.227,    0.106,   0.439,      nan,     nan,   10.579,   5.110,    3.542,   2.314,    0.032,   0.028,    1.446,   0.836,    1.225,   0.748,  1
 ngc628-035        ,   198.991,   24.505,    2.371,   1.019,    0.401,   0.173,    0.118,   0.132,    3.795,   0.931,    1.036,   0.592,      nan,     nan,    0.653,   0.221,    0.416,   0.191,  1
 ngc628-036        ,    90.629,   32.816,    2.966,   5.642,    0.235,   0.447,      nan,     nan,    6.035,   2.788,    1.483,   1.140,      nan,     nan,      nan,     nan,      nan,     nan,  1
 ngc628-037        ,    66.265,   21.504,    1.111,     nan,      nan,     nan,      nan,     nan,    6.718,   2.666,    1.700,   1.037,    0.042,   0.039,    0.598,   0.464,    0.440,   0.413,  0
 ngc628-038        ,    98.774,    6.482,    4.051,   0.557,    0.912,   0.125,      nan,     nan,    2.942,   0.510,    0.741,   0.366,    0.043,   0.009,    0.403,   0.121,    0.358,   0.118,  1
 ngc628-039        ,   137.053,   20.812,    2.032,   2.530,    0.139,   0.173,      nan,     nan,    3.889,   0.940,    0.951,   0.494,    0.020,   0.015,    0.525,   0.264,    0.297,   0.229,  1
 ngc628-040        ,    84.260,    8.257,    2.297,   0.539,    0.718,   0.168,      nan,     nan,    3.064,   0.602,    0.926,   0.393,    0.095,   0.018,    0.430,   0.146,    0.304,   0.133,  1
 ngc628-041        ,    73.250,   16.550,    3.602,   1.498,    1.190,   0.495,      nan,     nan,    5.092,   1.687,    0.992,   0.761,    0.040,   0.033,    0.704,   0.780,      nan,     nan,  1
 ngc628-042        ,   118.970,   18.805,    1.313,   1.825,    0.128,   0.178,      nan,     nan,    4.193,   1.038,    0.939,   0.523,    0.046,   0.027,    0.498,   0.391,      nan,     nan,  1
 ngc628-043        ,    96.779,    7.618,    2.155,   0.419,    0.679,   0.132,      nan,     nan,    3.747,   0.635,    0.949,   0.415,    0.043,   0.010,    0.517,   0.173,    0.274,   0.154,  1
 ngc628-044        ,    80.454,   10.033,    1.799,   0.677,    0.496,   0.187,      nan,     nan,    4.150,   0.903,    1.099,   0.523,    0.030,   0.017,    0.665,   0.194,    0.496,   0.173,  1
 ngc628-045        ,    70.326,    9.926,    1.699,   0.424,    1.299,   0.325,      nan,     nan,    3.761,   0.835,    0.923,   0.434,    0.044,   0.012,    0.262,   0.169,    0.140,   0.152,  1
 ngc628-046        ,    53.699,   20.794,    3.484,   9.271,    0.170,   0.453,      nan,     nan,    6.537,   3.324,    1.900,   1.528,      nan,     nan,    1.183,   0.932,    0.826,   0.793,  1
 ngc628-047        ,    95.240,   12.679,    2.611,   0.698,    0.993,   0.265,      nan,     nan,    4.284,   0.970,    0.841,   0.512,    0.034,   0.014,    0.511,   0.325,    0.339,   0.302,  1
 ngc628-048        ,    68.538,    6.695,    1.771,   0.398,    0.769,   0.173,    0.105,   0.109,    3.346,   0.591,    0.904,   0.353,    0.055,   0.012,    0.355,   0.155,    0.213,   0.141,  1
 ngc628-049        ,    56.209,   24.399,    1.358,     nan,      nan,     nan,      nan,     nan,    7.032,   3.524,    1.697,   1.208,      nan,     nan,    0.529,   0.547,      nan,     nan,  0
 ngc628-050        ,    85.976,    7.547,    1.968,   0.489,    0.547,   0.136,      nan,     nan,    3.835,   0.676,    0.984,   0.426,      nan,     nan,    0.507,   0.195,    0.298,   0.176,  1
 ngc628-051        ,    33.881,   27.791,    1.787,   5.356,    0.377,   1.129,      nan,     nan,    7.202,   6.619,    2.049,   2.392,      nan,     nan,      nan,     nan,      nan,     nan,  1
 ngc628-052        ,    67.017,   47.590,    1.383,   4.147,    0.310,   0.930,      nan,     nan,    6.431,   5.119,    1.465,   1.593,      nan,     nan,      nan,     nan,      nan,     nan,  1
 ngc628-053        ,    49.680,    8.897,    0.866,   1.063,    0.171,   0.210,      nan,     nan,    4.290,   0.998,    1.105,   0.428,      nan,     nan,    0.384,   0.218,    0.180,   0.181,  1
 ngc628-054        ,    34.189,   12.768,    2.519,  10.118,    0.102,   0.412,      nan,     nan,    7.240,   3.220,    1.993,   1.260,      nan,     nan,    0.725,   0.612,    0.437,   0.505,  1
 ngc628-055        ,    93.209,   10.956,    1.448,   0.653,    0.353,   0.159,    0.074,   0.049,    3.171,   0.659,    0.884,   0.390,    0.065,   0.012,    0.425,   0.205,    0.226,   0.181,  1
 ngc628-056        ,    93.588,    9.607,    2.702,   0.650,    0.744,   0.179,    0.072,   0.053,    4.053,   0.852,    0.940,   0.533,    0.063,   0.022,    0.628,   0.258,    0.392,   0.234,  1
 ngc628-057        ,    55.492,    6.517,    1.833,   0.573,    0.601,   0.188,      nan,     nan,    4.297,   0.905,    1.481,   0.574,    0.057,   0.017,    0.598,   0.248,    0.427,   0.228,  1
 ngc628-058        ,    75.967,    8.861,    2.222,   0.633,    0.693,   0.197,      nan,     nan,    4.019,   0.850,    1.139,   0.514,    0.041,   0.011,    0.588,   0.237,    0.420,   0.218,  1
